"","X","gene_id1","gene_name1","entry1","uid1","seq1_len","organism1","bit1","Neff1","NeffL1","aln1","gene_id2","gene_name2","entry2","uid2","seq2_len","organism2","bit2","Neff2","NeffL2","aln2","prefix","r_start_1","r_end_1","r_start_2","r_end_2","shared_domain","uid1_Pfam_domain","uid2_Pfam_domain","test","string","test2","pairwise_identity","X3d","complex_3d","3d","ecs_complete","ecs_anomaly"
"1464",1285932,"ENSG00000189227","C15ORF61","A6NNL5","CO061_HUMAN",157,"Homo sapiens (Human)",0.7,101.1,0.643949044585987,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CO061_HUMAN_1-157_b0.7/align/CO061_HUMAN_1-157_b0.7","ENSG00000067704","IARS2","Q9NSE4","SYIM_HUMAN",1012,"Homo sapiens (Human)",0.3,15939.1,15.7500988142292,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SYIM_HUMAN_1-1012_b0.3/align/SYIM_HUMAN_1-1012_b0.3","sepmito_01285932",1,157,1,1012,NA,"PF15031;","PF08264;PF00133;PF06827;","A6NNL5 Q9NSE4",0,"Q9NSE4 A6NNL5",5.6,NA,NA,NA,"Complete"," "
"3080",908626,"ENSG00000156113","KCNMA1","Q12791","KCMA1_HUMAN",1236,"Homo sapiens (Human)",0.2,434.6,0.351618122977346,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/KCMA1_HUMAN_1-1236_b0.2/align/KCMA1_HUMAN_1-1236_b0.2","ENSG00000242114","MTFP1","Q9UDX5","MTFP1_HUMAN",166,"Homo sapiens (Human)",0.2,364.5,2.19578313253012,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MTFP1_HUMAN_1-166_b0.2/align/MTFP1_HUMAN_1-166_b0.2","sepmito_00908626",1,1236,1,166,NA,"PF03493;PF00520;","PF10558;","Q12791 Q9UDX5",0,"Q9UDX5 Q12791",5.6,NA,NA,NA,"Complete"," "
"3192",1010912,"ENSG00000187581","COX8C","Q7Z4L0","COX8C_HUMAN",72,"Homo sapiens (Human)",0.3,291.1,4.04305555555556,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/COX8C_HUMAN_1-72_b0.3/align/COX8C_HUMAN_1-72_b0.3","ENSG00000072778","ACADVL","P49748","ACADV_HUMAN",655,"Homo sapiens (Human)",0.2,46543.4,71.0586259541985,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ACADV_HUMAN_1-655_b0.2/align/ACADV_HUMAN_1-655_b0.2","sepmito_01010912",1,72,1,655,NA,"PF02285;","PF00441;PF02770;PF02771;","Q7Z4L0 P49748",0,"P49748 Q7Z4L0",5.5,NA,NA,NA,"Complete"," "
"2053",687969,"ENSG00000158402","CDC25C","P30307","MPIP3_HUMAN",473,"Homo sapiens (Human)",0.2,872,1.84355179704017,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MPIP3_HUMAN_1-473_b0.2/align/MPIP3_HUMAN_1-473_b0.2","ENSG00000176340","COX8A","P10176","COX8A_HUMAN",69,"Homo sapiens (Human)",0.3,321.1,4.6536231884058,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/COX8A_HUMAN_1-69_b0.3/align/COX8A_HUMAN_1-69_b0.3","sepmito_00687969",1,473,1,69,NA,"PF06617;PF00581;","PF02285;","P30307 P10176",0,"P10176 P30307",6.1,NA,NA,NA,"Complete"," "
"4100",89262,"ENSG00000140451","PIF1","Q9H611","PIF1_HUMAN",641,"Homo sapiens (Human)",0.2,12192.7,19.0213728549142,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/PIF1_HUMAN_1-641_b0.2/align/PIF1_HUMAN_1-641_b0.2","ENSG00000228253","MT-ATP8","P03928","ATP8_HUMAN",68,"Homo sapiens (Human)",0.3,6311,92.8088235294118,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ATP8_HUMAN_1-68_b0.3/align/ATP8_HUMAN_1-68_b0.3","sepmito_00089262",1,641,1,68,NA,"PF02689;PF05970;","PF00895;","Q9H611 P03928",0,"P03928 Q9H611",3.4,NA,NA,NA,"Complete"," "
"1735",248968,"ENSG00000154229","PRKCA","P17252","KPCA_HUMAN",672,"Homo sapiens (Human)",0.4,5390.4,8.02142857142857,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/KPCA_HUMAN_1-672_b0.4/align/KPCA_HUMAN_1-672_b0.4","ENSG00000115520","COQ10B","Q9H8M1","CQ10B_HUMAN",238,"Homo sapiens (Human)",0.2,2873,12.0714285714286,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CQ10B_HUMAN_1-238_b0.2/align/CQ10B_HUMAN_1-238_b0.2","sepmito_00248968",1,672,1,238,NA,"PF00130;PF00168;PF00069;PF00433;","PF03364;","P17252 Q9H8M1",0,"Q9H8M1 P17252",9.4,NA,NA,NA,"Complete"," "
"3537",374276,"ENSG00000143653","SCCPDH","Q8NBX0","SCPDL_HUMAN",429,"Homo sapiens (Human)",0.2,2971.1,6.92564102564103,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SCPDL_HUMAN_1-429_b0.2/align/SCPDL_HUMAN_1-429_b0.2","ENSG00000180389","ATP5EP2","Q5VTU8","AT5EL_HUMAN",51,"Homo sapiens (Human)",0.4,387,7.58823529411765,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/AT5EL_HUMAN_1-51_b0.4/align/AT5EL_HUMAN_1-51_b0.4","sepmito_00374276",1,429,1,51,NA,"PF16653;PF03435;","PF04627;","Q8NBX0 Q5VTU8",0,"Q5VTU8 Q8NBX0",3.3,NA,NA,NA,"Complete"," "
"1580",308145,"ENSG00000262814","MRPL12","P52815","RM12_HUMAN",198,"Homo sapiens (Human)",0.2,4021.4,20.310101010101,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RM12_HUMAN_1-198_b0.2/align/RM12_HUMAN_1-198_b0.2","ENSG00000232859","LYRM9","A8MSI8","LYRM9_HUMAN",78,"Homo sapiens (Human)",0.2,5278.2,67.6692307692308,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/LYRM9_HUMAN_1-78_b0.2/align/LYRM9_HUMAN_1-78_b0.2","sepmito_00308145",1,198,1,78,NA,"PF00542;PF16320;","PF05347;","P52815 A8MSI8",0,"A8MSI8 P52815",9.1,NA,NA,NA,"Complete"," "
"1617",670076,"ENSG00000087157","PGS1","Q32NB8","PGPS1_HUMAN",556,"Homo sapiens (Human)",0.3,930.2,1.67302158273381,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/PGPS1_HUMAN_1-556_b0.3/align/PGPS1_HUMAN_1-556_b0.3","ENSG00000115944","COX7A2L","O14548","COX7R_HUMAN",114,"Homo sapiens (Human)",0.2,432.1,3.79035087719298,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/COX7R_HUMAN_1-114_b0.2/align/COX7R_HUMAN_1-114_b0.2","sepmito_00670076",1,556,1,114,NA,NA,"PF02238;","Q32NB8 O14548",0,"O14548 Q32NB8",6.7,NA,NA,NA,"Complete"," "
"450",768212,"ENSG00000156885","COX6A2","Q02221","CX6A2_HUMAN",97,"Homo sapiens (Human)",0.2,684.4,7.05567010309278,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CX6A2_HUMAN_1-97_b0.2/align/CX6A2_HUMAN_1-97_b0.2","ENSG00000075415","SLC25A3","Q00325","MPCP_HUMAN",362,"Homo sapiens (Human)",0.2,15179.2,41.9314917127072,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MPCP_HUMAN_1-362_b0.2/align/MPCP_HUMAN_1-362_b0.2","sepmito_00768212",1,97,1,362,NA,"PF02046;","PF00153;","Q02221 Q00325",0,"Q00325 Q02221",9.6,NA,NA,NA,"Complete"," "
"1066",1273205,"ENSG00000140521","POLG","P54098","DPOG1_HUMAN",1239,"Homo sapiens (Human)",0.3,106.4,0.0858757062146893,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/DPOG1_HUMAN_1-1239_b0.3/align/DPOG1_HUMAN_1-1239_b0.3","ENSG00000168273","SMIM4","Q8WVI0","SMIM4_HUMAN",70,"Homo sapiens (Human)",0.2,3115.5,44.5071428571429,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SMIM4_HUMAN_1-70_b0.2/align/SMIM4_HUMAN_1-70_b0.2","sepmito_01273205",1,1239,1,70,NA,"PF00476;PF18136;","PF15114;","P54098 Q8WVI0",0,"Q8WVI0 P54098",2.8,NA,NA,NA,"Complete"," "
"1990",1091106,"ENSG00000163596","ICA1L","Q8NDH6","ICA1L_HUMAN",482,"Homo sapiens (Human)",0.3,216.9,0.45,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ICA1L_HUMAN_1-482_b0.3/align/ICA1L_HUMAN_1-482_b0.3","ENSG00000181610","MRPS23","Q9Y3D9","RT23_HUMAN",190,"Homo sapiens (Human)",0.2,631.6,3.32421052631579,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RT23_HUMAN_1-190_b0.2/align/RT23_HUMAN_1-190_b0.2","sepmito_01091106",1,482,1,190,NA,"PF06456;PF04629;","PF10484;","Q8NDH6 Q9Y3D9",0,"Q9Y3D9 Q8NDH6",9.5,NA,NA,NA,"Complete"," "
"4330",1130802,"ENSG00000145247","OCIAD2","Q56VL3","OCAD2_HUMAN",154,"Homo sapiens (Human)",0.2,194.6,1.26363636363636,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/OCAD2_HUMAN_1-154_b0.2/align/OCAD2_HUMAN_1-154_b0.2","ENSG00000174840","PDE12","Q6L8Q7","PDE12_HUMAN",609,"Homo sapiens (Human)",0.2,1319.1,2.16600985221675,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/PDE12_HUMAN_1-609_b0.2/align/PDE12_HUMAN_1-609_b0.2","sepmito_01130802",1,154,1,609,NA,"PF07051;","PF03372;","Q56VL3 Q6L8Q7",0,"Q6L8Q7 Q56VL3",8.2,NA,NA,NA,"Complete"," "
"3065",1246996,"ENSG00000139990","DCAF5","Q96JK2","DCAF5_HUMAN",942,"Homo sapiens (Human)",0.2,119.7,0.127070063694268,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/DCAF5_HUMAN_1-942_b0.2/align/DCAF5_HUMAN_1-942_b0.2","ENSG00000139428","MMAB","Q96EY8","MMAB_HUMAN",250,"Homo sapiens (Human)",0.2,5753.6,23.0144,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MMAB_HUMAN_1-250_b0.2/align/MMAB_HUMAN_1-250_b0.2","sepmito_01246996",1,942,1,250,NA,"PF00400;","PF01923;","Q96JK2 Q96EY8",0,"Q96EY8 Q96JK2",9.7,NA,NA,NA,"Complete"," "
"1422",404097,"ENSG00000111843","TMEM14C","Q9P0S9","TM14C_HUMAN",112,"Homo sapiens (Human)",0.2,2552.2,22.7875,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/TM14C_HUMAN_1-112_b0.2/align/TM14C_HUMAN_1-112_b0.2","ENSG00000172270","BSG","P35613","BASI_HUMAN",385,"Homo sapiens (Human)",0.2,28724.5,74.6090909090909,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/BASI_HUMAN_1-385_b0.2/align/BASI_HUMAN_1-385_b0.2","sepmito_00404097",1,112,1,385,NA,"PF03647;",NA,"Q9P0S9 P35613",0,"P35613 Q9P0S9",8.3,NA,NA,NA,"Complete"," "
"1123",237570,"ENSG00000135297","MTO1","Q9Y2Z2","MTO1_HUMAN",717,"Homo sapiens (Human)",0.2,5635.9,7.86039051603905,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MTO1_HUMAN_1-717_b0.2/align/MTO1_HUMAN_1-717_b0.2","ENSG00000159445","THEM4","Q5T1C6","THEM4_HUMAN",240,"Homo sapiens (Human)",0.2,4454.1,18.55875,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/THEM4_HUMAN_1-240_b0.2/align/THEM4_HUMAN_1-240_b0.2","sepmito_00237570",1,717,1,240,NA,"PF01134;PF13932;","PF03061;","Q9Y2Z2 Q5T1C6",0,"Q5T1C6 Q9Y2Z2",9.2,NA,NA,NA,"Complete"," "
"2441",1352132,"ENSG00000122203","KIAA1191","Q96A73","P33MX_HUMAN",305,"Homo sapiens (Human)",0.2,61.8,0.202622950819672,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/P33MX_HUMAN_1-305_b0.2/align/P33MX_HUMAN_1-305_b0.2","ENSG00000140798","ABCC12","Q96J65","MRP9_HUMAN",1359,"Homo sapiens (Human)",0.3,8335.3,6.13340691685062,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MRP9_HUMAN_1-1359_b0.3/align/MRP9_HUMAN_1-1359_b0.3","sepmito_01352132",1,305,1,1359,NA,"PF15302;","PF00664;PF00005;","Q96A73 Q96J65",0,"Q96J65 Q96A73",8.1,NA,NA,NA,"Complete"," "
"1162",807078,"ENSG00000135862","LAMC1","P11047","LAMC1_HUMAN",1609,"Homo sapiens (Human)",0.3,627.3,0.389869484151647,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/LAMC1_HUMAN_1-1609_b0.3/align/LAMC1_HUMAN_1-1609_b0.3","ENSG00000135093","USP30","Q70CQ3","UBP30_HUMAN",517,"Homo sapiens (Human)",0.2,8805.6,17.0321083172147,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/UBP30_HUMAN_1-517_b0.2/align/UBP30_HUMAN_1-517_b0.2","sepmito_00807078",1,1609,1,517,NA,"PF00052;PF00053;PF00055;","PF00443;","P11047 Q70CQ3",0,"Q70CQ3 P11047",9.4,NA,NA,NA,"Complete"," "
"287",328587,"ENSG00000110717","NDUFS8","O00217","NDUS8_HUMAN",210,"Homo sapiens (Human)",0.2,3669.8,17.4752380952381,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NDUS8_HUMAN_1-210_b0.2/align/NDUS8_HUMAN_1-210_b0.2","ENSG00000135776","ABCB10","Q9NRK6","ABCBA_HUMAN",738,"Homo sapiens (Human)",0.5,72791.8,98.6338753387534,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ABCBA_HUMAN_1-738_b0.5/align/ABCBA_HUMAN_1-738_b0.5","sepmito_00328587",1,210,1,738,NA,"PF12838;","PF00664;PF00005;","O00217 Q9NRK6",0,"Q9NRK6 O00217",9.2,NA,NA,NA,"Complete"," "
"872",790065,"ENSG00000167283","ATP5MG","O75964","ATP5L_HUMAN",103,"Homo sapiens (Human)",0.2,649.7,6.30776699029126,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ATP5L_HUMAN_1-103_b0.2/align/ATP5L_HUMAN_1-103_b0.2","ENSG00000154229","PRKCA","P17252","KPCA_HUMAN",672,"Homo sapiens (Human)",0.4,5390.4,8.02142857142857,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/KPCA_HUMAN_1-672_b0.4/align/KPCA_HUMAN_1-672_b0.4","sepmito_00790065",1,103,1,672,NA,"PF04718;","PF00130;PF00168;PF00069;PF00433;","O75964 P17252",0,"P17252 O75964",6.5,NA,NA,NA,"Complete"," "
"322",1038954,"ENSG00000155542","SETD9","Q8NE22","SETD9_HUMAN",299,"Homo sapiens (Human)",0.2,258.7,0.865217391304348,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SETD9_HUMAN_1-299_b0.2/align/SETD9_HUMAN_1-299_b0.2","ENSG00000141447","OSBPL1A","Q9BXW6","OSBL1_HUMAN",950,"Homo sapiens (Human)",0.2,1524.6,1.60484210526316,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/OSBL1_HUMAN_1-950_b0.2/align/OSBL1_HUMAN_1-950_b0.2","sepmito_01038954",1,299,1,950,NA,NA,"PF12796;PF01237;","Q8NE22 Q9BXW6",0,"Q9BXW6 Q8NE22",9.2,NA,NA,NA,"Complete"," "
"658",553808,"ENSG00000164898","FMC1","Q96HJ9","FMC1_HUMAN",113,"Homo sapiens (Human)",0.2,1423.6,12.5982300884956,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/FMC1_HUMAN_1-113_b0.2/align/FMC1_HUMAN_1-113_b0.2","ENSG00000197122","SRC","P12931","SRC_HUMAN",536,"Homo sapiens (Human)",0.4,17532,32.7089552238806,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/SRC_HUMAN_1-536_b0.4/align/SRC_HUMAN_1-536_b0.4","sepmito_00553808",1,113,1,536,NA,NA,"PF07714;PF00017;PF00018;","Q96HJ9 P12931",0,"P12931 Q96HJ9",7.6,NA,NA,NA,"Complete"," "
"1325",649873,"ENSG00000115840","SLC25A12","O75746","CMC1_HUMAN",678,"Homo sapiens (Human)",0.3,1024.7,1.51135693215339,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CMC1_HUMAN_1-678_b0.3/align/CMC1_HUMAN_1-678_b0.3","ENSG00000105518","TMEM205","Q6UW68","TM205_HUMAN",189,"Homo sapiens (Human)",0.2,931.4,4.92804232804233,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/TM205_HUMAN_1-189_b0.2/align/TM205_HUMAN_1-189_b0.2","sepmito_00649873",1,678,1,189,NA,"PF00153;","PF13664;","O75746 Q6UW68",0,"Q6UW68 O75746",9.9,NA,NA,NA,"Complete"," "
"1488",399699,"ENSG00000107959","PITRM1","Q5JRX3","PREP_HUMAN",1037,"Homo sapiens (Human)",0.2,2656.2,2.56142719382835,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/PREP_HUMAN_1-1037_b0.2/align/PREP_HUMAN_1-1037_b0.2","ENSG00000148057","IDNK","Q5T6J7","GNTK_HUMAN",187,"Homo sapiens (Human)",0.3,4031.8,21.5604278074866,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/GNTK_HUMAN_1-187_b0.3/align/GNTK_HUMAN_1-187_b0.3","sepmito_00399699",1,1037,1,187,NA,"PF08367;PF00675;PF05193;","PF01202;","Q5JRX3 Q5T6J7",0,"Q5T6J7 Q5JRX3",6.7,NA,NA,NA,"Complete"," "
"760",342828,"ENSG00000021826","CPS1","P31327","CPSM_HUMAN",1500,"Homo sapiens (Human)",0.3,3550.9,2.36726666666667,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CPSM_HUMAN_1-1500_b0.3/align/CPSM_HUMAN_1-1500_b0.3","ENSG00000124164","VAPB","O95292","VAPB_HUMAN",243,"Homo sapiens (Human)",0.2,1974,8.12345679012346,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/VAPB_HUMAN_1-243_b0.2/align/VAPB_HUMAN_1-243_b0.2","sepmito_00342828",1,1500,1,243,NA,"PF02786;PF02787;PF00988;PF00117;PF02142;","PF00635;","P31327 O95292",0,"O95292 P31327",6,NA,NA,NA,"Complete"," "
"3923",448227,"ENSG00000173660","UQCRH","P07919","QCR6_HUMAN",91,"Homo sapiens (Human)",0.2,2184.1,24.0010989010989,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/QCR6_HUMAN_1-91_b0.2/align/QCR6_HUMAN_1-91_b0.2","ENSG00000171612","SLC25A33","Q9BSK2","S2533_HUMAN",321,"Homo sapiens (Human)",0.2,16740.7,52.1517133956386,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/S2533_HUMAN_1-321_b0.2/align/S2533_HUMAN_1-321_b0.2","sepmito_00448227",1,91,1,321,NA,"PF02320;","PF00153;","P07919 Q9BSK2",0,"Q9BSK2 P07919",8.7,NA,NA,NA,"Complete"," "
"242",314584,"ENSG00000185875","THNSL1","Q8IYQ7","THNS1_HUMAN",743,"Homo sapiens (Human)",0.2,3915.6,5.2699865410498,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/THNS1_HUMAN_1-743_b0.2/align/THNS1_HUMAN_1-743_b0.2","ENSG00000111737","RAB35","Q15286","RAB35_HUMAN",201,"Homo sapiens (Human)",0.3,19796.1,98.4880597014925,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RAB35_HUMAN_1-201_b0.3/align/RAB35_HUMAN_1-201_b0.3","sepmito_00314584",1,743,1,201,NA,"PF01202;PF14821;","PF00071;","Q8IYQ7 Q15286",0,"Q15286 Q8IYQ7",8.5,NA,NA,NA,"Complete"," "
"40",888881,"ENSG00000131148","EMC8","O43402","EMC8_HUMAN",210,"Homo sapiens (Human)",0.2,476.4,2.26857142857143,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/EMC8_HUMAN_1-210_b0.2/align/EMC8_HUMAN_1-210_b0.2","ENSG00000166598","HSP90B1","P14625","ENPL_HUMAN",803,"Homo sapiens (Human)",0.2,3900.6,4.85753424657534,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ENPL_HUMAN_1-803_b0.2/align/ENPL_HUMAN_1-803_b0.2","sepmito_00888881",1,210,1,803,NA,"PF03665;","PF02518;PF00183;","O43402 P14625",0,"P14625 O43402",8.1,NA,NA,NA,"Complete"," "
"823",286846,"ENSG00000155368","DBI","P07108","ACBP_HUMAN",87,"Homo sapiens (Human)",0.2,4444.1,51.0816091954023,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ACBP_HUMAN_1-87_b0.2/align/ACBP_HUMAN_1-87_b0.2","ENSG00000167755","KLK6","Q92876","KLK6_HUMAN",244,"Homo sapiens (Human)",0.4,24184.6,99.1172131147541,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/KLK6_HUMAN_1-244_b0.4/align/KLK6_HUMAN_1-244_b0.4","sepmito_00286846",1,87,1,244,NA,"PF00887;","PF00089;","P07108 Q92876",0,"Q92876 P07108",9.8,NA,NA,NA,"Complete"," "
"1573",887553,"ENSG00000126858","RHOT1","Q8IXI2","MIRO1_HUMAN",618,"Homo sapiens (Human)",0.2,477.2,0.772168284789644,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/MIRO1_HUMAN_1-618_b0.2/align/MIRO1_HUMAN_1-618_b0.2","ENSG00000243147","MRPL33","O75394","RM33_HUMAN",65,"Homo sapiens (Human)",0.2,2576.6,39.64,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RM33_HUMAN_1-65_b0.2/align/RM33_HUMAN_1-65_b0.2","sepmito_00887553",1,618,1,65,NA,"PF08355;PF08356;PF00071;","PF00471;","Q8IXI2 O75394",0,"O75394 Q8IXI2",4.2,NA,NA,NA,"Complete"," "
"4412",427655,"ENSG00000005469","CROT","Q9UKG9","OCTC_HUMAN",612,"Homo sapiens (Human)",0.2,2353,3.84477124183007,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/OCTC_HUMAN_1-612_b0.2/align/OCTC_HUMAN_1-612_b0.2","ENSG00000105193","RPS16","P62249","RS16_HUMAN",146,"Homo sapiens (Human)",0.4,5269.7,36.0938356164384,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RS16_HUMAN_1-146_b0.4/align/RS16_HUMAN_1-146_b0.4","sepmito_00427655",1,612,1,146,NA,"PF00755;","PF00380;","Q9UKG9 P62249",0,"P62249 Q9UKG9",8.2,NA,NA,NA,"Complete"," "
"2501",321648,"ENSG00000183597","TANGO2","Q6ICL3","TNG2_HUMAN",276,"Homo sapiens (Human)",0.2,3800.9,13.7713768115942,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/TNG2_HUMAN_1-276_b0.2/align/TNG2_HUMAN_1-276_b0.2","ENSG00000186687","LYRM7","Q5U5X0","LYRM7_HUMAN",104,"Homo sapiens (Human)",0.2,4411.9,42.4221153846154,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/LYRM7_HUMAN_1-104_b0.2/align/LYRM7_HUMAN_1-104_b0.2","sepmito_00321648",1,276,1,104,NA,"PF05742;","PF05347;","Q6ICL3 Q5U5X0",0,"Q5U5X0 Q6ICL3",8.7,NA,NA,NA,"Complete"," "
"3835",922031,"ENSG00000132313","MRPL35","Q9NZE8","RM35_HUMAN",188,"Homo sapiens (Human)",0.2,420.3,2.23563829787234,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/RM35_HUMAN_1-188_b0.2/align/RM35_HUMAN_1-188_b0.2","ENSG00000115159","GPD2","P43304","GPDM_HUMAN",727,"Homo sapiens (Human)",0.2,7013.7,9.6474552957359,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/GPDM_HUMAN_1-727_b0.2/align/GPDM_HUMAN_1-727_b0.2","sepmito_00922031",1,188,1,727,NA,"PF01632;","PF01266;PF16901;PF13499;","Q9NZE8 P43304",0,"P43304 Q9NZE8",9.1,NA,NA,NA,"Complete"," "
"4072",704099,"ENSG00000072110","ACTN1","P12814","ACTN1_HUMAN",892,"Homo sapiens (Human)",0.2,818.6,0.917713004484305,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/ACTN1_HUMAN_1-892_b0.2/align/ACTN1_HUMAN_1-892_b0.2","ENSG00000165028","NIPSNAP3B","Q9BS92","NPS3B_HUMAN",247,"Homo sapiens (Human)",0.2,1690.3,6.84331983805668,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/NPS3B_HUMAN_1-247_b0.2/align/NPS3B_HUMAN_1-247_b0.2","sepmito_00704099",1,892,1,247,NA,"PF00307;PF08726;PF00435;","PF07978;","P12814 Q9BS92",0,"Q9BS92 P12814",9.4,NA,NA,NA,"Complete"," "
"1250",796851,"ENSG00000106346","USP42","Q9H9J4","UBP42_HUMAN",1324,"Homo sapiens (Human)",0.2,636.1,0.480438066465257,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/UBP42_HUMAN_1-1324_b0.2/align/UBP42_HUMAN_1-1324_b0.2","ENSG00000136682","CBWD2","Q8IUF1","CBWD2_HUMAN",395,"Homo sapiens (Human)",0.2,9591.7,24.2827848101266,"/n/scratch3/users/h/he47/hybrid_approach/mitoproteome/human/monomer_align/output/CBWD2_HUMAN_1-395_b0.2/align/CBWD2_HUMAN_1-395_b0.2","sepmito_00796851",1,1324,1,395,NA,"PF00443;","PF02492;PF07683;","Q9H9J4 Q8IUF1",0,"Q8IUF1 Q9H9J4",9.4,NA,NA,NA,"Complete"," "
